epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.679,1.16434,4.17111,1.62839,0.75749,0.72197,0.84001,0.67166,0.72172,6.83639,1.13822,0.00012,0.00012,0.00012
2,301.48,0.86648,1.48769,1.26305,0.80291,0.92273,0.89322,0.64985,1.00751,2.63662,1.49712,0.000243812,0.000243812,0.000243812
3,415.327,0.84819,1.19372,1.26009,0.61072,0.71957,0.61399,0.36102,1.46307,3.46258,1.82573,0.00036119,0.00036119,0.00036119
4,546.393,0.86235,1.02069,1.23641,0.72154,0.40447,0.56937,0.34146,1.69317,3.47383,2.57228,0.000472133,0.000472133,0.000472133
5,678.947,0.8637,0.90165,1.24199,0.56908,0.58249,0.6063,0.36441,1.51839,4.21852,2.32433,0.00057664,0.00057664,0.00057664
6,789.169,0.89927,0.99189,1.24352,0.72438,0.44471,0.56521,0.30812,1.75496,5.10233,2.49188,0.000674713,0.000674713,0.000674713
7,896.157,0.87677,0.95907,1.22762,0.39161,0.68569,0.60836,0.34109,2.1684,3.94678,4.08746,0.00076635,0.00076635,0.00076635
8,1005.39,0.90929,0.85845,1.24289,0.71713,0.80767,0.78915,0.47556,1.30868,2.18106,1.89185,0.00082675,0.00082675,0.00082675
9,1137.65,0.89092,0.81474,1.24009,0.60844,0.62273,0.71903,0.48631,1.07326,3.34124,1.55889,0.000802,0.000802,0.000802
10,1268.46,0.84066,0.7252,1.19922,0.63609,0.63277,0.61762,0.42375,1.25631,2.03027,1.78936,0.00077725,0.00077725,0.00077725
11,1393.51,0.8564,0.72116,1.22322,0.70814,0.78243,0.69507,0.49404,1.35738,1.66288,1.8529,0.0007525,0.0007525,0.0007525
12,1491.25,0.81987,0.67556,1.1747,0.61166,0.6306,0.60689,0.44612,2.11746,1.6928,3.46395,0.00072775,0.00072775,0.00072775
13,1609.47,0.81094,0.64956,1.2027,0.51228,0.46601,0.43499,0.33431,1.38866,20.8571,1.8029,0.000703,0.000703,0.000703
14,1715.42,0.81988,0.68158,1.19212,0.65196,0.73168,0.60748,0.42703,1.06492,15.5837,1.43559,0.00067825,0.00067825,0.00067825
15,1834.01,0.77643,0.60198,1.14854,0.80661,0.87896,0.92215,0.64799,1.14784,1.30622,1.61397,0.0006535,0.0006535,0.0006535
